Código do Termo (Tab 22 - TUSS);Termo (Tab 22 - TUSS)
40311236;2,5-hexanodiona, dosagem na urina
40311244;Cistina - pesquisa e/ou dosagem na urina
40311252;Porfobilinogênio - na urina
40311260;Acidez titulável - pesquisa e/ou dosagem na urina
40311279;Bartituratos - pesquisa e/ou dosagem na urina
40311287;Beta mercapto-lactato-disulfidúria,pesquisa - na urina
40311295;Contagem sedimentar de Addis
40311309;Eletroforese de proteínas urinárias, com concentração
40311317;Fenilcetonúria, pesquisa
40311325;Histidina, pesquisa - na urina
40311333;Inclusão citomegálica, pesquisa de células com - na urina
40311341;Mioglobina, pesquisa - na urina
40311350;Osmolalidade, determinação - na urina
40311368;Prova de concentração (Fishberg ou Volhard) - na urina
40311376;Prova de diluição - na urina
40311384;Sobrecarga de água, prova - na urina
40311392;Tirosinose, pesquisa - na urina
40311406;Fenciclidina na urina (amostra isolada)
40311414;Ferro urinário (urina 24h)
40311422;Gordura na urina, pesquisa de
40311430;Hemoglobina livre na urina (amostra isolada)
40311449;MDMA (Êxtase), triagem (urina)
40311457;Pesquisa de espermatozóide na urina
40311465;Substâncias redutoras, pesquisa (urina)
40311473;Teste de concentração urinária após DDAVP
40311481;Urina, pesquisa antígeno para Legionella
40311490;Urocitograma
40311503;Pesquisa de sulfatídeos e material metacromático na urina
40311511;Teste de fluxo lateral para detecção de lipoarabinomanano em urina (LF - LAM)
40312011;Cristalização do muco cervical, pequisa
40312020;Cromatina sexual, pesquisa
40312046;Iontoforese para a coleta de suor, com dosagem de cloro
40312054;Muco-nasal, pesquisa de eosinófilos e mastócitos
40312062;Perfil  metabólico  para  litíase  renal: sangue (Ca, P, AU, Cr) urina: (Ca, AU, P, citr, pesq. Cistina) AMP-cíclico
40312070;Gastroacidograma - secreção basal para 60' e 4 amostras após o estímulo (fornecimento de material inclusive tubagem), teste
40312089;Hollander (inclusive tubagem), teste
40312097;Pancreozima - secretina no suco duodenal, teste
40312100;Rotina da biles A, B, C e do suco duodenal (caracteres físicos e microscópicos inclusive tubagem)
40312119;Tubagem duodenal
40312127;Perfil reumatológico (ácido úrico, eletroforese de proteínas, FAN, VHS, prova do látex P/F. R, W. Rose)
40312135;pH - tornassol - pesquisa
40312143;"Prova atividade de febre reumática (aslo, eletroforese de proteínas, muco-proteínas e proteína ""C"" reativa)"
40312151;Provas de função hepática (bilirrubinas, eletroforese de proteínas, FA, TGO, TGP e Gama-PGT)
40312160;Teste do pezinho básico (TSH neonatal + fenilalanina + eletroforese de Hb para triagem de hemopatias)
40312178;Teste do pezinho ampliado (TSH neonatal + 17 OH progesterona + fenilalanina + Tripsina imuno-reativa + eletroforese de Hb para triagem de hemopatias)
40312186;Cálculo biliar, análise química
40312194;Coleta de escarro induzida
40312208;Cristalografia análise de cálculo
40312216;Esclerose múltipla, painel
40312224;Espectrometria de massa em tandem
40312232;Identificação de verme
40312240;Isolamento de microorganismos especiais
40312259;Lavado gástrico, colheita por
40312267;Líquido pleural citológico
40312275;Pepsinogenio 2
40312283;Perfil para líquidos biológicos
40312291;Proteína 14-3-3
40312305;Prova de restrição calórica
40312313;Prova fármaco-dinâmica
40312321;Semiologia para impotência
40312330;Sexagem fetal
40312364;Vírus respiratório, triagem aspirado nasofaringeo
40312372;Vírus respiratório, triagem lavado nasofaringeo
40312380;Vírus respiratório, triagem secreção orofaringe
40312399;Vírus respiratório, triagem secreção traqueal
40312402;Vírus respiratório, triagem swab nasal
40312410;Teste respiratório da xylose
40312429;Teste respiratório de intolerância a frutose
40312437;Teste respiratório de intolerância a glicose
40312445;Teste respiratório de intolerânica a lactose
40312453;Teste respiratório de intolerância a sacarose
40312461;Teste respiratório de intolerância a sorbitol
40312470;Teste respiratório da lactulose (8 amostras)
40313018;Ácido delta aminolevulínico (para chumbo inorgânico) - pesquisa e/ou dosagem
40313026;Ácido delta aminolevulínico desidratase (para chumbo inorgânico) - pesquisa e/ou dosagem
40313034;Ácido fenilglioxílico (para estireno) - pesquisa e/ou dosagem
40313042;Ácido hipúrico (para tolueno) - pesquisa e/ou dosagem
40313050;Ácido mandélico (para estireno) - pesquisa e/ou dosagem
40313069;Ácido metilhipúrico (para xilenos) - pesquisa e/ou dosagem
40313077;Ácido salicílico - pesquisa e/ou dosagem
40313085;Azida sódica, teste da (para deissulfeto de carbono)
40313093;Carboxihemoglobina (para monóxido de carbono  diclorometano) - pesquisa e/ou dosagem
40313107;Chumbo - pesquisa e/ou dosagem
40313115;Colinesterase (para carbamatos  organofosforados) - pesquisa e/ou dosagem
40313123;Coproporfirinas (para chumbo inorgânico) - pesquisa e/ou dosagem
40313131;Dialdeído malônico - pesquisa e/ou dosagem
40313140;Etanol - pesquisa e/ou dosagem
40313158;Fenol (para benzeno, fenol) - pesquisa e/ou dosagem
40313166;Flúor (para fluoretos) - pesquisa e/ou dosagem
40313182;Meta-hemoglobina (para anilina nitrobenzeno) - pesquisa e/ou dosagem
40313190;Metais Al, As, Cd, Cr, Mn, Hg, Ni, Zn, Co, outro (s) absorção atômica (cada) - pesquisa e/ou dosagem
40313204;Metanol - pesquisa e/ou dosagem
40313212;P-aminofenol (para anilina) - pesquisa e/ou dosagem
40313220;P-nitrofenol (para nitrobenzeno) - pesquisa e/ou dosagem
40313239;Protoporfirinas livres (para chumbo inorgânico) - pesquisa e/ou dosagem
40313247;Protoporfirinas Zn (para chumbo inorgânico) - pesquisa e/ou dosagem
40313255;Selênio, dosagem
40313263;Sulfatos orgânicos ou inorgânicos, pesquisa (cada)
40313271;Tiocianato (para cianetos  nitrilas alifáticas) - pesquisa e/ou dosagem
40313280;Triclorocompostos totais (para tetracloroetileno, tricloroetano, tricloroetileno) - pesquisa e/ou dosagem
40313298;Ácido acético - pesquisa e/ou dosagem
40313301;Ácido metil malônico - pesquisa e/ou dosagem
40313310;Cromo - pesquisa e/ou dosagem
40313328;Zinco - pesquisa e/ou dosagem
40313336;Salicilatos, pesquisa
40313344;Metil Etil Cetona - pesquisa e/ou dosagem
40313352;Berílio, soro
40313360;Brometo, sangue total
40314014;Apolipoproteína E, genotipagem
40314022;Citomegalovírus - qualitativo, por PCR - pesquisa
40314030;Citomegalovírus - quantitativo, por PCR - pesquisa
40314049;Cromossomo philadelfia - pesquisa
40314057;Fator V de Leiden por PCR - pesquisa
40314065;Doenças do gene CFTL (fibrose cística) pesquisa de uma mutação (DF508)
40314073;Hepatite B (qualitativo) PCR - pesquisa
40314081;Hepatite B (quantitativo) PCR - pesquisa
40314090;Hepatite C (qualitativo) por PCR - pesquisa
40314103;Hepatite C (quantitativo) por PCR - pesquisa
40314111;Hepatite C - genotipagem - pesquisa
40314120;HIV - carga viral PCR - pesquisa
40314138;HIV - qualitativo por PCR - pesquisa
40314146;HIV, genotipagem - pesquisa
40314154;HPV (vírus do papiloma humano) + subtipagem quando necessário PCR - pesquisa
40314162;HTLV I / II por PCR (cada) - pesquisa
40314170;Mycobactéria PCR - pesquisa
40314189;Parvovírus por PCR - pesquisa
40314197;Proteína S total + livre, dosagem
40314200;Rubéola por PCR - pesquisa
40314219;Sífilis por PCR - pesquisa
40314227;Toxoplasmose por PCR - pesquisa
40314235;X frágil por PCR - pesquisa
40314243;Chlamydia por biologia molecular - pesquisa
40314251;Citogenética de medula óssea
40314260;Amplificação de material por biologia molecular (outros agentes)
40314278;Pesquisa de outros agentes por PCR
40314286;Pesquisa de mutação de alelo específico por PCR
40314294;Resistência a agentes antivirais por biologia molecular (cada droga) - pesquisa
40314308;Quantificação de outros agentes por PCR
40314316;SCIH tipagem molecular de bactérias
40314324;Clonalidade para células B, detecção por PCR, vários materiais
40314332;Clonalidade para células T, detecção por PCR, sangue total
40314340;Coronavirus, detecção por PCR
40314359;Epstein BARR vírus por PCR
40314367;Hepatite B, genotipagem
40314375;Herpes vírus humano 1,2 por PCR
40314383;Herpes vírus humano 6,7 por PCR
40314391;Herpes vírus humano 8 por PCR
40314405;Herpes vírus zoster, (Varicella) por PCR
40314413;Hepatite C quantitativo por TMA
40314421;HPV, genotipagem
40314430;HLA B27, fenotipagem/genotipagem
40314448;HPV oncoproteínas virais E6/E7, pesquisa
40314456;Clostridium Difficile Toxigênico, pesquisa DNA, fezes
40314472;Detecção de bactérias e fungos em sangue periférico (Septifast), por PCR
40314480;Análise de quimerismo pós transplante (STR), cada
40314499;Teste de biologia molecular para hiperplasia adrenal congênita
40314502;HIV amplificação do DNA por PCR
40314510;Pesquisa de mutação pré-core vírus hepatite B
40314529;TMA qualitativo para hepatite C
40314537;Chlamydia, amplificação de DNA por PCR
40314545;Mycobactéria, amplificação de DNA por PCR
40314561;Vírus Zika - por PCR
40314570;Identificação multiplex por PCR painel com até 25 agentes
40314588;Identificação multiplex por PCR painel com 26 a 40 agentes
40314596;Quantificação de TRECs e KRECs
40314600;Teste molecular para nódulos de tireoide por perfil de microRNA (miRNA), por nódulo
40314618;SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR
40314626;PCR em tempo real para vírus influenza A e B
40314642;Mycobacterium leprae (bacilo de hansen), detecção de resistência a antibióticos por PCR
40314650;Mycobacterium leprae (bacilo de hansen), pesquisa PCR em tempo real
40314669;Teste para detecção do vírus monkeypox (MPXV) por biologia molecular em diversos materiais biológicos, por estágio ou por local da lesão
40314677;Teste de hibridização com sonda em linha (LPA 1ª linha) para Complexo Mycobacterium Tuberculosis(MTBC)
40314685;Teste de hibridização com sonda em linha (LPA 2ª linha) para Complexo Mycobacterium Tuberculosis(MTBC)
40316017;17-alfa-hidroxiprogesterona - pesquisa e/ou dosagem
40316025;3 alfa androstonediol glucoronídeo (3ALFDADIOL) - pesquisa e/ou dosagem
40316033;Ácido vanilmandélico (VMA) - pesquisa e/ou dosagem
40316041;Adrenocorticotrófico, hormônio (ACTH) - pesquisa e/ou dosagem
40316050;Aldosterona - pesquisa e/ou dosagem
40316068;Alfa-fetoproteína - pesquisa e/ou dosagem
40316076;Androstenediona - pesquisa e/ou dosagem
40316084;Anticorpo anti-receptor de TSH (TRAB) - pesquisa e/ou dosagem
40316092;Anticorpos antiinsulina - pesquisa e/ou dosagem
40316106;Anticorpos antitireóide (tireoglobulina) - pesquisa e/ou dosagem
40316114;Antígeno Austrália (HBSAG) - pesquisa e/ou dosagem
40316122;Antígeno carcinoembriogênico (CEA) - pesquisa e/ou dosagem
40316130;Antígeno específico prostático livre (PSA livre) - pesquisa e/ou dosagem
40316149;Antígeno específico prostático total (PSA) - pesquisa e/ou dosagem
40316157;Anti-TPO - pesquisa e/ou dosagem
40316165;Calcitonina - pesquisa e/ou dosagem
40316173;Catecolaminas - pesquisa e/ou dosagem
40316181;Composto S (11-desoxicortisol) - pesquisa e/ou dosagem
40316190;Cortisol - pesquisa e/ou dosagem
40316203;Crescimento, hormônio do (HGH) - pesquisa e/ou dosagem
40316211;Dehidroepiandrosterona (DHEA) - pesquisa e/ou dosagem
40316220;Dehidrotestosterona (DHT) - pesquisa e/ou dosagem
40316238;Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada - pesquisa e/ou dosagem
40316246;Estradiol - pesquisa e/ou dosagem
40316254;Estriol - pesquisa e/ou dosagem
40316262;Estrona - pesquisa e/ou dosagem
40316270;Ferritina - pesquisa e/ou dosagem
40316289;Folículo estimulante, hormônio (FSH) - pesquisa e/ou dosagem
40316297;Gastrina - pesquisa e/ou dosagem
40316300;Globulina de ligação de hormônios sexuais (SHBG) - pesquisa e/ou dosagem
40316319;Globulina transportadora da tiroxina (TBG) - pesquisa e/ou dosagem
40316327;Gonadotrófico coriônico, hormônio (HCG) - pesquisa e/ou dosagem
40316335;Hormônio luteinizante (LH) - pesquisa e/ou dosagem
40316343;Imunoglobulina (IGE) - pesquisa e/ou dosagem
40316351;Índice de tiroxina livre (ITL) - pesquisa e/ou dosagem
40316360;Insulina - pesquisa e/ou dosagem
40316378;Marcadores tumorais (CA 19.9, CA 125, CA 72-4, CA 15-3, etc.) cada - pesquisa e/ou dosagem
40316386;Osteocalcina - pesquisa e/ou dosagem
40316394;Peptídeo C - pesquisa e/ou dosagem
40316408;Progesterona - pesquisa e/ou dosagem
40316416;Prolactina - pesquisa e/ou dosagem
40316424;PTH - pesquisa e/ou dosagem
40316432;Renina - pesquisa e/ou dosagem
40316440;Somatomedina C (IGF1) - pesquisa e/ou dosagem
40316459;Sulfato de dehidroepiandrosterona (S-DHEA) - pesquisa e/ou dosagem
40316467;T3 livre - pesquisa e/ou dosagem
40316475;T3 retenção - pesquisa e/ou dosagem
40316483;T3 reverso - pesquisa e/ou dosagem
40316491;T4 livre - pesquisa e/ou dosagem
40316505;Testosterona livre - pesquisa e/ou dosagem
40316513;Testosterona total - pesquisa e/ou dosagem
40316521;Tireoestimulante, hormônio (TSH) - pesquisa e/ou dosagem
40316530;Tireoglobulina - pesquisa e/ou dosagem
40316548;Tiroxina (T4) - pesquisa e/ou dosagem
40316556;Triiodotironina (T3) - pesquisa e/ou dosagem
40316564;Vasopressina (ADH) - pesquisa e/ou dosagem
40316572;Vitamina B12 - pesquisa e/ou dosagem
40316580;Adiponectina
40316599;AMP cíclico nefrogênico na urina (24h)
40316602;AMP cíclico nefrogênico na urina (amostra isolada)
40316610;Anabolizantes esteróides na urina (amostra isolada)
40316629;Androsterona
40316637;Angiotensina II
40316645;Anticorpos antinucleossomo, soro
40316653;Antígenos prostático específico complexado, soro
40316661;Aquaporina 4 (AQP4)
40316670;Capacidade de ligação da vitamina B12
40316688;Corticosterona
40316696;CRH
40316718;Cromogranina A, soro
40316726;Curva de peptídeo C e insulina
40316734;Curva glicêmica (7 dosagens) via oral ou endovenosa ou potencializada
40316742;DCB
40316750;Dehidro rodamina teste de oxidação
40316769;Deoxicorticosterona, dosagem
40316777;Dosagem de 18 hidroxicortisterona
40316785;Dosagem de ácido hipúrico em urina
40316793;Dosagem de ácido trans-mucônico em urina
40316807;Fator de crescimento vascular endotelial (VEGF)
40316815;Fator II de crescimento, símile a insulina
40316823;Fator liberador hormônio do crescimento GH
40316831;Glicose após estímulo/glucagon
40316840;Glicosuria fracionada (4 dosagens)
40316858;Globulina ligadora do cortisol
40316866;Gonadotrofina coriônica - hemaglutinação ou látex
40316874;HGH estímulo com exercício e clonidina, HGH
40316882;Hipoglicemiantes (sulfonilurea painel)
40316890;Hormônio anti muleriano
40316904;Hormônio estimulador do alfa melanócito
40316912;ICA 512
40316920;IGFBP-1
40316939;IGFBP-2
40316947;Índice de recuperação da tireoglobulina
40316955;Insulina livre
40316963;Insulina total e livre
40316971;Megateste
40316998;Melatonina (sangue)
40317013;Monitorização de glicose 1 dia
40317021;Monitorização de glicose 2 dias
40317030;Monitorização de glicose 3 dias
40317056;Pregnenolona, dosagem
40317064;Pró-insulina
40317072;Proteína ligadora hormônio de crescimento GH
40317080;Prova de sobrecarga de glicose para insulina
40317099;Receptor fator de crescimento epidermal
40317102;Sub-unidade Alfa hormônios glicoproteicos
40317110;Sub-unidade Beta da gonadotrofina coriônica livre
40317129;Teste com ACTH para dosagem de DHEA
40317137;Teste com cálcio para dosar calcitonina (Calcitonina após estímulo com cálcio)
40317145;Teste com cortrosina para 17 alfa hidroxiprogesterona
40317153;Teste com estímulo para renina após captopril
40317161;Teste de estímulo com cortrosina para11 desoxicortisol
40317170;Teste de estímulo com TRH para dosagem de GH
40317188;Teste de estímulo do GH pela insulina (4 dosagens de GH)
40317196;Teste de estímulo do GH pelo exercício (cada dosagem de GH)
40317200;Teste de estímulo do GH pelo glucagon (4 dosagens de GH)
40317218;Teste de reserva funcional com l-arginina
40317226;Teste de supressão do GH pela sobrecarga de glicose (cada dosagem de GH)
40317234;Tetrahidroaldosterona
40317242;TRH, dosagem do
40317250;Curva insulínica e glicêmica clássica
40317269;Curva insulínica e glicêmica (2 dosagens)
40317277;Curva insulínica e glicêmica (3 dosagens)
40317285;Curva insulínica e glicêmica (4 dosagens)
40317293;Curva insulínica e glicêmica (5 dosagens)
40317307;Curva insulínica e glicêmica (7 dosagens)
40317315;Curva insulínica e glicêmica (8 dosagens)
40317323;Curva insulínica e glicêmica (9 dosagens)
40317331;Curva glicêmica prolongada (7 dosagens)
40317340;C-Telopeptídeo
40317366;Grelina, polipeptídeo liberador da gastrina, dosagem
40317374;Cortisol ritmo (2 dosagens)
40317382;Testosterona na saliva, dosagem
40317390;Curva insulínica e glicêmica (6 dosagens)
40317404;Metanefrinas urinária após clonidina
40317412;Paratomônio, proteína relacionada, dosagem
40317420;Proteína ligadora do hormônio de crescimento (HGH), dosagem
40317439;Restrição hídrica, teste
40317447;Teste de estímulo para cortisol com insulina (cada)
40317455;Teste para CRH para dosar ACTH e cortisol
40317463;Curva de HGH com clonidina (cada dosagem)
40317471;Prova funcional de estímulo da prolactina após TRH sem fornecimento do medicamento (por dosagem)
40317480;Prova de Testosterona, após HCG sem fornecimento do medicamento (por dosagem)
40317498;Dosagem de p2PSA
40319016;APT teste
40319024;Atividade de protease fator Von Willebrand
40319032;Cadeia Kappa leve livre
40319040;Cadeia Kappa-Lambda leve livre
40319059;Células tumorais circulante mama Cellsearch
40319067;Coenzima Q10
40319075;Fator alfa necrose tumoral
40319083;Fator B properdin, dosagem soro
40319091;Fator X ativado
40319105;Ferro medula óssea
40319113;Hemácias, contagem
40319121;Hemácias, tempo de sobrevida das
40319130;Hemoglobina fetal, dosagem
40319148;Hemólise
40319156;Índice de segmentação dos neutrófilos
40319164;Linfócitos, cultura com candida albicans
40319172;Microesferócitos, pesquisa de
40319180;Molibidenio (sangue)
40319199;Neutrófilos, pesquisa de
40319202;Pesquisa de alfa talassemia
40319210;Pesquisa de beta talassemia
40319229;Hemoglobina H, pesquisa
40319237;Protrombina fragmento 1 e 2
40319245;Prova funcional DDAVP - hemofilia
40319253;Prova funcional DDAVP - Von Willebrand (1hora)
40319261;Prova funcional DDAVP - Von Willebrand (4horas)
40319270;Tempo de Lise de Euglobulina
40319288;Teste cruzado de grupos sanguíneos
40319296;Teste de estímulo DDAQVP para dosagem de cortisol e ACTH
40319300;Viscosidade plasmática ou sanguínea
40319318;Análise de multímeros para pacientes com doença de Von Willebrand
40319326;Protrombina, pesquisa de mutação
40319334;CD 52 marcador isolado
40319342;Disfibrinogenemia, pesquisa
40319350;HPA1 genotipagem
40319369;CD3, imunofenotipagem
40319377;CD34, imunofenotipagem
40319385;Ciclina D1, imunofenotipagem
40319393;Adesividade plaquetária
40319407;Tempo de coagulação ativado (TCA)
40319415;Teste de viabilidade celular, citometria de fluxo, outros materiais
40319423;Anti-fator Xa, atividade
40319431;Cross match plaquetário
40319440;Fator II, dosagem do inibidor
40319458;Fator VII, dosagem do inibidor
40319466;Fibrinogênio quantitativo, nefelometria
40319474;Hemoglobinopatias, neonatal, sangue periférico
40319482;Imunofenotipagem Imunod nível 2
40321010;Colesterol esterificado
40321029;Deficiência da MCAD
40321037;Deficiente de carboidrato, transferrina
40321045;Dexametasona
40321053;Dióxido de carbono, dosagem
40321061;Dosagem de cafeína
40321070;Dosagem de cortisona
40321088;Dosagem de eletrólitos (sol. diálise)
40321096;Dosagem de ferro em tecido hepático
40321100;Dosagem de metilfenidato
40321118;Dosagem de mitotane
40321126;Dosagem de pema, soro
40321134;Drogas de abuso, triagem
40321142;Efexor, dosagem
40321169;Estrôncio, dosagem
40321193;Haloperidol, dosagem
40321207;Homocistina, pesquisa de
40321223;Carbapenem, dosagem - Meropenem e Imipenem
40321231;Índice de saturação de ferro
40321240;Inibina A
40321258;Inibina B, dosagem
40321266;Interleucina 10
40321274;Interleucina 1B
40321282;Interleucina 6
40321290;Isoenzimas de CPK
40321304;Isotretinoina, dosagem
40321312;Itraconazol
40321320;Ketamina, dosagem soro
40321339;Kunkel (sulfato de zinco), reação de
40321347;Levetiracetam, dosagem
40321355;Lindane, dosagem
40321363;Maconha, dosagem soro
40321371;Macroamilase
40321380;Marcadores cardíacos diagnósticos
40321398;Metanefrinas plasmáticas
40321401;Morfina (sangue)
40321410;Neurontin
40321428;Nicotina qualitativa urina (amostra isolada)
40321436;Nifedipina, dosagem
40321444;Opiáceos quantitativo (urina)
40321452;Painel qualitativo para diurético (urina)
40321460;Paroxetina, dosagem
40321479;Penicilina, dosagem
40321487;Pesquisa de nitritos
40321495;Polipeptídeo pancreático
40321509;Porfirinas fracionadas plasmáticas
40321517;Prozac, dosagem (sangue)
40321525;Reserpina, dosagem
40321533;Resistência a proteína C ativada
40321541;Respiridona, dosagem
40321550;Serotonina (sangue)
40321568;Sirolimus, dosagem
40321576;Somatostatina
40321584;Substância P, dosagem
40321592;Tioridazina, dosagem
40321606;Titânio, dosagem
40321614;Topiramato, dosagem (sangue)
40321622;Toxina botulinica, pesquisa (alimentos)
40321630;Toxina botulinica, pesquisa (sangue)
40321657;Trifluoperazina, dosagem soro
40321665;Triptase, dosagem
40321673;Vanádio, dosagem
40321681;Vigabatrina, dosagem
40321690;Cefalexina dosagem
40321703;Ceftriaxona dosagem
40321711;Clindamicina, dosagem
40321720;Clobazam dosagem
40321738;Clonazepan, dosagem
40321746;Clorpromazina, dosagem
40321754;Clozapina, dosagem
40321762;Colinesterase com inibição de Dibucaina
40321770;Disopiramida, dosagem
40321789;Dissulfiram, dosagem
40321797;Doxepina, dosagem
40321800;Flunitrazepam, dosagem
40321819;Fluoxetina, dosagem
40321827;Galactocerebrosidase, dosagem
40321835;Heroína, dosagem
40321843;Heroína, dosagem, cabelo
40321851;Interleucina 4, dosagem
40321860;Interleucina 8, dosagem
40321878;Iodo, dosagem na urina
40321886;Isopropanol, sangue total
40321894;Lioresal, dosagem
40321908;Isopropanol, urina
40321916;Lorazepam, dosagem
40321924;LSD, dosagem
40321932;LSD, dosagem cabelo
40321940;Macrocreatinoquinase, pesquisa
40321959;Manganes eritrocitário, dosagem
40321967;Manganes sérico, dosagem
40321975;Maprotilina, dosagem
40321983;Midazolam, dosagem
40321991;Opiaceos, detecção
40322017;Opiaceos, detecção no cabelo
40322025;Pirimetamina, dosagem
40322033;Serotonina, dosagem urinária
40322041;Sulfadiazina, dosagem
40322050;Sulfametoxazol, dosagem
40322068;Sulfapiridina, dosagem
40322076;Sulfisoxazol, dosagem
40322084;Swelling test
40322092;Tetrahidrocanabinol (maconha), dosagem
40322106;Tetrahidrocanabinol (maconha), dosagem, cabelo
40322114;Vancomicina, dosagem
40322122;Vitamina H (Biotina), dosagem
40322130;Zolpidem, dosagem
40322149;Ácido 2 Tio-Tiazolidina 4 carboxílico
40322157;Ácido fitânico
40322165;Ácido hialuronico
40322173;Iduronato-2 sulfatase, dosagem
40322181;N-Acetilgalactosaminidase, dosagem
40322190;N-Acetilglicosaminidase, dosagem
40322203;Neopterina, dosagem
40322211;N-Metil formamida, dosagem
40322220;Pentaclorofenol, dosagem
40322238;Piretróides inseticidas, dosagem
40322246;Receptor solúvel de transferrina
40322254;Superoxido dismutase, dosagem
40322262;Vitamina B5 (Pantofenato), dosagem
40322270;Ácido cítrico (Citrato), dosagem sangue
40322289;Ácido cítrico (Citrato), dosagem esperma
40322297;Creatina eritrocitária
40322300;Curva glicêmica clássica (5 dosagens)
40322319;Everolimus, dosagem
40322327;Radicais livre no soro
40322335;Radicais livre na urina
40322343;Teste de absorção de triglicérides (sobrecarga)
40322351;10,11 Epóxido carbamazepinam, soro
40322360;Alfa fetoproteína L3, líquor
40322378;Albumina, líquor
40322386;Alfa-galactosidade, dosagem plásmatica
40322394;Alfa L-iduronase, plasma
40322408;Bicarbonato na urina, amostra isolada
40322416;Carnitina, dosagem
40322424;Cistatina C, dosagem no sangue
40322432;Cobre eritrocitário, dosagem
40322440;Cocaína, dosagem, sangue total
40322459;Colesterol LDL peroxidada
40322467;Índice de ácido úrico/creatinina
40322475;Índice de cálcio/creatinina
40322483;Índice de proteína/creatinina
40322491;Tripsina, dosagem
40322505;Zinco eritrocitário, dosagem
40322513;Transcobalamina, dosagem
40322521;Acetoacetato, dosagem
40322530;Biperideno, dosagem
40322548;Catalase eritrocitária
40322556;1,3-Beta-D-Glucan, soro
40322564;Amiloidose - TTR
40322572;Determinação da razão dos níveis séricos in vitro da tirosina-quinase-1 semelhante a fms solúvel (sFlt-1): fator de crescimento placentário (PlGF) por eletroquimioluminescência
40323013;Anticorpos GQ1B - IgG
40323021;Anticorpos Hama
40323030;Acetilcolina, anticorpos ligador receptor
40323048;Acetilcolina, anticorpos modulador receptor
40323056;Anticorpos neutralizado do interferon
40323064;Anticorpos PLA-2, soro
40323080;Anticorpos protombina - IgG/IgM
40323099;Anticorpos vírus Herpes  8
40323102;Antigenemia para citomegalovirus
40323110;Antígenos de aspergillus galactomannan
40323129;Antígenos inalatórios anticorpos
40323137;Antígenos proteinas S
40323145;BTA qualitatitvo na urina (amostra isolada)
40323153;C4d fragmento
40323161;C6 complemento
40323170;C7 complemento
40323188;C8 complemento
40323196;C9 complemento
40323200;Campylobacter, sorologia
40323218;Cisticercose Western Blot
40323234;Coxsackie A,
40323242;Detecção antígeno histoplasma (urina)
40323250;Detecção de CMV para RNA nasba
40323269;Detecção de enterovirus no líquor
40323307;Entamoeba histolytica, pesquisa (abscesso hepático)
40323315;Epstein BARR antígeno nuclear - IgM
40323323;Esquisocitos, pesquisa de
40323331;Febre amarela, sorologia
40323340;Febre do mediterrâneo
40323358;Fenotiazinas qualitativas urina
40323366;Fenotipagem virtual para HIV
40323374;Fosfatidil glicerol - IgG/IgM/IgA
40323382;Fosfatidiletanolamina - IgG/IgM/IgA
40323404;Hepatite E - IgM/IgG
40323412;Heptimax, dosagem
40323420;Herpes vírus 7 - IgG/IgM
40323439;Herpes vírus, citologia (pesquisa de células herpet) ou IFD
40323447;Hipersensibilidade pneumonite triagem
40323455;Histoplasma, pesquisa de
40323471;HLA locus C
40323480;Imunofenotipagem T e B
40323498;Isoprostano
40323501;Kleihauer
40323510;Lyme para Western Blot
40323528;Mata autoanticorpo
40323536;Neisseria meningitidis IgG resp vacinal
40323552;Neuropatia motora, painel
40323579;Perfil para anticorpos anti gangliosídeo
40323587;Pesquisa antígeno da legionella
40323595;Pesquisa de adenovirus
40323609;Pesquisa de antígenos de giardia lamblia
40323617;Pesquisa de células Tzanck
40323625;Pesquisa de influenza A e B por imunofluorescência
40323641;Pesquisa direta anticorpos anti plaqueta - IgG
40323650;Pesquisa para Gardnerella
40323668;Pesquisa para haemophilus ducreyi
40323676;Pesquisa rápida para influenza A e B
40323684;Pesquisa rápida para vírus sincicial respiratório
40323692;Plaquetas induzidas por heparina anticorpo
40323706;Proteína C antígeno
40323714;Proteína ligadora fração C4 complemento
40323722;Proteína para ribossomal anticorpo soro
40323730;Reatividade contra painel de linfócitos
40323749;Receptor de interleucina 2
40323757;Rubéola, IHA para
40323765;Screening para anticorpos anti HLA
40323773;Sorologia para Babesia microti
40323781;Sorologia para febre da montanha rochosa
40323790;Sub-classes de IgA
40323803;T3 autoanticorpo
40323811;T4 autoanticorpo
40323846;Tularemia, anti
40323854;Unidades avançadas - triagem HCG
40323862;Vírus respiratório, pesquisa rápida
40323870;West Nile sorologia líquor LCR
40323889;ZAP-70
40323897;Anticorpos antidifteria
40323900;Anticorpos antitétano
40323919;Teste rápido para detecção de HIV em gestante
40323927;Filagrina, anticorpos IgG
40323935;Bartonella, anticorpos IgG
40323943;Bartonella, anticorpos IgM
40323951;Borrelia burgdorferi em líquor, anticorpos IgG
40323960;Borrelia burgdorferi em líquor, anticorpos IgM
40323978;Cadeias leves livres Kappa/Lambda em urina, dosagem
40323986;Calprotectina, detecção nas fezes
40323994;Contraimunoeletroforese
40324010;Bordetella pertussis (Coqueluche) anticorpos IgG
40324028;Coxiella burnetti (febre Q), anticorpos IgG
40324036;Coxiella burnetti (febre Q), anticorpos IgM
40324044;Coxsackie A9, anticorpos IgM
40324052;Coxsackie B1-6, anticorpos IgM
